InChIKey,n_rows,n_datasets,datasets,target_min,target_max,dataset_rows,smiles_examples
DLKQHBOKULLWDQ-UHFFFAOYSA-N,2,2,mp;st,-1.0,0.04328,mp:28 | st:8,Brc1cccc2ccccc12
WBJINCZRORDGAQ-UHFFFAOYSA-N,2,2,mp;st,-81.0,0.0229,mp:1492 | st:241,CCOC=O
XXJWXESWEXIICW-UHFFFAOYSA-N,2,2,mp;st,-76.0,0.02917,mp:1517 | st:154,CCOCCOCCO
RRQYJINTUHWNHW-UHFFFAOYSA-N,2,2,mp;st,-44.0,0.02668,mp:1518 | st:155,CCOCCOCCOCC
LJSQFQKUNVCTIA-UHFFFAOYSA-N,2,2,mp;st,-104.0,0.02416,mp:1528 | st:150,CCSCC
VZGDMQKNWNREIO-UHFFFAOYSA-N,2,2,mp;st,-23.0,0.02776,mp:1541 | st:314,ClC(Cl)(Cl)Cl
HEDRZPFGACZZDS-UHFFFAOYSA-N,2,2,mp;st,-63.0,0.0262,mp:1548 | st:321,ClC(Cl)Cl
ZPQOPVIELGIULI-UHFFFAOYSA-N,2,2,mp;st,-24.8,0.0356,mp:1587 | st:68,Clc1cccc(Cl)c1
MVPPADPHJFYWMZ-UHFFFAOYSA-N,2,2,mp;st,-45.0,0.033,mp:1591 | st:193,Clc1ccccc1
JPOXNPPZZKNXOV-UHFFFAOYSA-N,2,2,mp;st,-88.0,0.01302,mp:1607 | st:182,ClCBr
UBOXGVDOUJQMTN-UHFFFAOYSA-N,2,2,mp;st,-35.0,0.0333,mp:1611 | st:53,ClCC(Cl)Cl
BRLQWZUYTZBJKN-UHFFFAOYSA-N,2,2,mp;st,-57.0,0.034,mp:1620 | st:15,ClCC1CO1
WSLDOOZREJYCGB-UHFFFAOYSA-N,2,2,mp;st,-35.0,0.0301,mp:1626 | st:60,ClCCCl
ZNSMNVMLTJELDZ-UHFFFAOYSA-N,2,2,mp;st,-47.0,0.03723,mp:1629 | st:127,ClCCOCCCl
ZMXDDKWLCZADIW-UHFFFAOYSA-N,2,2,mp;st,-61.0,0.03583,mp:1640 | st:278,CN(C)C=O
SECXISVLQFMRJM-UHFFFAOYSA-N,2,2,mp;st,-23.0,0.04025,mp:1684 | st:271,CN1CCCC1=O
OKKJLVBELUTLKV-UHFFFAOYSA-N,2,2,mp;st,-98.0,0.02212,mp:1709 | st:262,CO
RTZKZFJDLAIYFH-UHFFFAOYSA-N,2,2,mp;st,-116.0,0.016578,mp:1515 | st:215,CCOCC
XEKOWRVHYACXOJ-UHFFFAOYSA-N,2,2,mp;st,-84.0,0.0237,mp:1489 | st:240,CCOC(C)=O
LCGLNKUTAGEVQW-UHFFFAOYSA-N,2,2,mp;st,-138.0,0.0118,mp:1712 | st:220,COC
RIFGWPKJUGCATF-UHFFFAOYSA-N,2,2,mp;st,-81.0,0.0262,mp:1483 | st:239,CCOC(=O)Cl
BBMCTIGTTCKYKF-UHFFFAOYSA-N,2,2,mp;st,-36.0,0.02647,mp:1339 | st:22,CCCCCCCO
VFWCMGCRMGJXDK-UHFFFAOYSA-N,2,2,mp;st,-123.0,0.02329,mp:1348 | st:16,CCCCCl
AMQJEAYHLZJPGS-UHFFFAOYSA-N,2,2,mp;st,-78.0,0.02497,mp:1349 | st:34,CCCCCO
HQABUPZFAYXKJW-UHFFFAOYSA-N,2,2,mp;st,-49.0,0.02347,mp:1354 | st:10,CCCCN
LRHPLDYGYMQRHN-UHFFFAOYSA-N,2,2,mp;st,-89.0,0.0242,mp:1361 | st:11,CCCCO
YFTHZRPMJXBUME-UHFFFAOYSA-N,2,2,mp;st,-93.5,0.02248,mp:1388 | st:280,CCCN(CCC)CCC
BDERNNFJNOPAEC-UHFFFAOYSA-N,2,2,mp;st,-127.0,0.02315,mp:1391 | st:38,CCCO
KFNNIILCVOLYIR-UHFFFAOYSA-N,2,2,mp;st,-93.0,0.02383,mp:1396 | st:306,CCCOC=O
SUVIGLJNEAMWEG-UHFFFAOYSA-N,2,2,mp;st,-113.0,0.02432,mp:1400 | st:37,CCCS
LFQSCWFLJHTTHZ-UHFFFAOYSA-N,2,2,mp;st,-114.0,0.0218,mp:1436 | st:236,CCO
AJSTXXYNEIHPMD-UHFFFAOYSA-N,2,2,mp;st,-85.0,0.01927,mp:1438 | st:322,CCOB(OCC)OCC
XYIBRDXRRQCHLP-UHFFFAOYSA-N,2,2,mp;st,-43.0,0.0323,mp:1474 | st:238,CCOC(=O)CC(C)=O
DKMROQRQHGEIOW-UHFFFAOYSA-N,2,2,mp;st,-20.0,0.031,mp:1479 | st:212,CCOC(=O)CCC(=O)OCC
VIZORQUEIQEFRT-UHFFFAOYSA-N,2,2,mp;st,-18.0,0.0322,mp:1480 | st:210,CCOC(=O)CCCCC(=O)OCC
ONKUXPIBXRRIDU-UHFFFAOYSA-N,2,2,mp;st,0.03219,2.0,mp:1481 | st:214,CCOC(=O)CCCCCCCCC(=O)OCC
WRECIMRULFAWHA-UHFFFAOYSA-N,2,2,mp;st,-34.0,0.01945,mp:1711 | st:326,COB(OC)OC
QPJVMBTYPHYUOC-UHFFFAOYSA-N,2,2,mp;st,-12.0,0.0372,mp:1750 | st:263,COC(=O)c1ccccc1
MWKFXSUHUHTGQN-UHFFFAOYSA-N,2,2,mp;st,0.02812,7.0,mp:1324 | st:18,CCCCCCCCCCO
SNHMUERNLJLMHN-UHFFFAOYSA-N,2,2,mp;st,-31.0,0.04035,mp:1987 | st:259,Ic1ccccc1
PAYRUJLWNCNPSJ-UHFFFAOYSA-N,2,2,mp;st,-6.0,0.04279,mp:2215 | st:170,Nc1ccccc1
PAFZNILMFXTMIY-UHFFFAOYSA-N,2,2,mp;st,-18.0,0.03154,mp:2216 | st:197,NC1CCCCC1
PIICEJLVQHRZGT-UHFFFAOYSA-N,2,2,mp;st,0.0418,8.5,mp:2259 | st:64,NCCN
HZAXFHJVJLSVMW-UHFFFAOYSA-N,2,2,mp;st,0.04796,11.0,mp:2262 | st:80,NCCO
LQNUZADURLCDLV-UHFFFAOYSA-N,2,2,mp;st,0.0425,5.0,mp:2359 | st:283,O=[N+]([O-])c1ccccc1
DTQVDTLACAAQTR-UHFFFAOYSA-N,2,2,mp;st,-15.0,0.01344,mp:2473 | st:323,O=C(O)C(F)(F)F
SESFRYSPDFLNCH-UHFFFAOYSA-N,2,2,mp;st,0.0425,18.0,mp:2656 | st:171,O=C(OCc1ccccc1)c1ccccc1
JJWKPURADFRFRB-UHFFFAOYSA-N,2,2,mp;st,-139.0,0.00693,mp:2667 | st:192,O=C=S
HUMNYLRZRPPJDN-UHFFFAOYSA-N,2,2,mp;st,-56.0,0.0421,mp:2809 | st:167,O=Cc1ccccc1
HYBBIBNJHNGZAN-UHFFFAOYSA-N,2,2,mp;st,-36.0,0.04295,mp:2816 | st:248,O=Cc1ccco1
BDAGIHXWWSANSR-UHFFFAOYSA-N,2,2,mp;st,0.03817,8.0,mp:2821 | st:261,O=CO
RHQDFWAXVIIEBN-UHFFFAOYSA-N,2,2,mp;st,-43.5,0.02111,mp:2959 | st:121,OCC(F)(F)F
PEDCQBHIVMGVHV-UHFFFAOYSA-N,2,2,mp;st,0.0625,17.8,mp:2963 | st:66,OCC(O)CO
YPFDHNVEDLHUCE-UHFFFAOYSA-N,2,2,mp;st,-27.0,0.053125,mp:3005 | st:72,OCCCO
GSEJCLTVZPLZKY-UHFFFAOYSA-N,2,2,mp;st,0.04588,19.5,mp:3007 | st:327,OCCN(CCO)CCO
ZHNUHDYFZUAESO-UHFFFAOYSA-N,2,2,mp;st,0.05651,2.0,mp:2131 | st:247,NC=O
PYLWMHQQBFSUBP-UHFFFAOYSA-N,2,2,mp;st,-40.0,0.02743,mp:1979 | st:245,Fc1ccccc1
BZLVMXJERCGZMT-UHFFFAOYSA-N,2,2,mp;st,-109.0,0.01815,mp:1766 | st:46,COC(C)(C)C
AITNMTXHTIIIBB-UHFFFAOYSA-N,2,2,mp;st,-16.0,0.0343,mp:1973 | st:7,Fc1ccc(Br)cc1
SPEUIVXLLWOEMJ-UHFFFAOYSA-N,2,2,mp;st,-113.0,0.0209,mp:1767 | st:146,COC(C)OC
TZIHFWKZFHZASV-UHFFFAOYSA-N,2,2,mp;st,-100.0,0.023027,mp:1770 | st:265,COC=O
ZRSNZINYAWTAHE-UHFFFAOYSA-N,2,2,mp;st,-1.0,0.0418,mp:1844 | st:160,COc1ccc(C=O)cc1
CFBYEGUGFPZCNF-UHFFFAOYSA-N,2,2,mp;st,0.0484,9.4,mp:1907 | st:27,COc1ccccc1[N+](=O)[O-]
XNWFRZJHXBZDAG-UHFFFAOYSA-N,2,2,mp;st,-85.0,0.03082,mp:1924 | st:94,COCCO
SBZXBUIDTXKZTM-UHFFFAOYSA-N,2,2,mp;st,-64.0,0.02456,mp:1928 | st:136,COCCOCCOC
NKDDWNXOKDWJAK-UHFFFAOYSA-N,2,2,mp;st,-105.0,0.020358,mp:1929 | st:219,COCOC
IAZDPXIOMUYVGZ-UHFFFAOYSA-N,2,2,mp;st,0.0425,18.4,mp:1949 | st:224,CS(C)=O
YFMFNYKEUDLDTL-UHFFFAOYSA-N,2,2,mp;st,-131.0,0.006774,mp:1953 | st:91,FC(C(F)(F)F)C(F)(F)F
CYRMSUTZVYGINF-UHFFFAOYSA-N,2,2,mp;st,-110.5,0.0173,mp:1954 | st:320,FC(Cl)(Cl)Cl
YVBBRRALBYAZBM-UHFFFAOYSA-N,2,2,mp;st,-25.0,0.01396,mp:1955 | st:287,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
NSGXIBWMJZWTPY-UHFFFAOYSA-N,2,2,mp;st,-98.0,0.009681,mp:1962 | st:50,FC(F)(F)CC(F)(F)F
XPDWGBQVDMORPB-UHFFFAOYSA-N,2,2,mp;st,-160.0,0.00024,mp:1964 | st:325,FC(F)F
USPWUOFNOTUBAD-UHFFFAOYSA-N,2,2,mp;st,-66.0,0.02176,mp:1966 | st:291,Fc1c(F)c(F)c(C(F)(F)F)c(F)c1F
ZQBFAOFFOQMSGJ-UHFFFAOYSA-N,2,2,mp;st,0.0218,3.9,mp:1967 | st:254,Fc1c(F)c(F)c(F)c(F)c1F
ZWRUINPWMLAQRD-UHFFFAOYSA-N,2,2,mp;st,-7.0,0.02755,mp:1326 | st:32,CCCCCCCCCO
LQZZUXJYWNFBMV-UHFFFAOYSA-N,2,2,mp;st,0.02737,24.0,mp:1317 | st:19,CCCCCCCCCCCCO
QARVLSVVCXYDNA-UHFFFAOYSA-N,2,2,mp;st,-31.0,0.0365,mp:29 | st:181,Brc1ccccc1
OTMSDBZUPAUEDD-UHFFFAOYSA-N,2,2,mp;st,-183.33,0.00028,mp:382 | st:234,CC
QTBSBXVTEAMEQO-UHFFFAOYSA-N,2,2,mp;st,0.027,16.7,mp:473 | st:235,CC(=O)O
JMMWKPVZQRWMSS-UHFFFAOYSA-N,2,2,mp;st,-73.0,0.02189,mp:476 | st:28,CC(=O)OC(C)C
NBRKLOOSMBRFMH-UHFFFAOYSA-N,2,2,mp;st,-26.0,0.0189,mp:536 | st:83,CC(C)(C)Cl
DKGAVHZHDRPRBM-UHFFFAOYSA-N,2,2,mp;st,0.01985,25.0,mp:542 | st:103,CC(C)(C)O
FGLBSLMDCBOPQK-UHFFFAOYSA-N,2,2,mp;st,-93.0,0.02868,mp:560 | st:112,CC(C)[N+](=O)[O-]
CSCPPACGZOOCGX-UHFFFAOYSA-N,2,2,mp;st,-94.0,0.02302,mp:569 | st:305,CC(C)=O
IKECULIHBUCAKR-UHFFFAOYSA-N,2,2,mp;st,-10.0,0.02359,mp:577 | st:128,CC(C)C(C)(C)O
HLVFKOKELQSXIQ-UHFFFAOYSA-N,2,2,mp;st,-118.0,0.0244,mp:599 | st:6,CC(C)CBr
NHTMVDHEPJAVLT-UHFFFAOYSA-N,2,2,mp;st,-107.0,0.0186,mp:602 | st:126,CC(C)CC(C)(C)C
BZHMBWZPUJHVEE-UHFFFAOYSA-N,2,2,mp;st,-123.0,0.017649,mp:603 | st:132,CC(C)CC(C)C
PHTQWCKDNZKARW-UHFFFAOYSA-N,2,2,mp;st,-117.0,0.02415,mp:616 | st:145,CC(C)CCO
KDSNLYIMUZNERS-UHFFFAOYSA-N,2,2,mp;st,-85.0,0.02171,mp:619 | st:97,CC(C)CN
NJBCRXCAPCODGX-UHFFFAOYSA-N,2,2,mp;st,-77.0,0.02189,mp:620 | st:104,CC(C)CNCC(C)C
KFZMGEQAYNKOFK-UHFFFAOYSA-N,2,2,mp;st,-90.0,0.02119,mp:627 | st:116,CC(C)O
SCYULBFZEHDVBN-UHFFFAOYSA-N,2,2,mp;st,-97.0,0.0224,mp:641 | st:43,CC(Cl)Cl
KWOLFJPFCHCOCG-UHFFFAOYSA-N,2,2,mp;st,0.0388,19.0,mp:418 | st:165,CC(=O)c1ccccc1
RYHBNJHYFVUHQT-UHFFFAOYSA-N,2,2,mp;st,0.03291,11.8,mp:376 | st:76,C1COCCO1
MCSAJNNLRCFZED-UHFFFAOYSA-N,2,2,mp;st,-89.0,0.0315,mp:658 | st:284,CC[N+](=O)[O-]
YNAVUWVOSKDBBP-UHFFFAOYSA-N,2,2,mp;st,-5.0,0.03768,mp:375 | st:315,C1COCCN1
PAAZPARNPHGIKF-UHFFFAOYSA-N,2,2,mp;st,0.03754,10.0,mp:51 | st:57,BrCCBr
LYGJENNIWJXYER-UHFFFAOYSA-N,2,2,mp;st,-29.0,0.0358,mp:81 | st:285,C[N+](=O)[O-]
HMMGMWAXVFQUOA-UHFFFAOYSA-N,2,2,mp;st,0.0184,17.5,mp:87 | st:292,C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1
LIKMAJRDDDTEIG-UHFFFAOYSA-N,2,2,mp;st,-140.0,0.01749,mp:196 | st:26,C=CCCCC
ZGEGCLOFRBLKSE-UHFFFAOYSA-N,2,2,mp;st,-119.0,0.01937,mp:197 | st:23,C=CCCCCC
HFDVRLIODXPAHB-UHFFFAOYSA-N,2,2,mp;st,-13.0,0.02598,mp:204 | st:39,C=CCCCCCCCCCCCC
GQEZCXVZFLOKMC-UHFFFAOYSA-N,2,2,mp;st,0.02692,4.0,mp:206 | st:24,C=CCCCCCCCCCCCCCC
VVJKKWFAADXIJK-UHFFFAOYSA-N,2,2,mp;st,-88.0,0.02427,mp:213 | st:140,C=CCN
KAESVJOAVNADME-UHFFFAOYSA-N,2,2,mp;st,-23.0,0.03706,mp:241 | st:308,C1=CNC=C1 | c1cc[nH]c1
XBPCUCUWBYBCDP-UHFFFAOYSA-N,2,2,mp;st,-1.0,0.03376,mp:302 | st:269,C1CCC(NC2CCCCC2)CC1
SMWDFEZZVXVKRB-UHFFFAOYSA-N,2,2,mp;st,-15.0,0.04425,mp:347 | st:310,c1ccc2ncccc2c1
RGSFGYAAUTVSQA-UHFFFAOYSA-N,2,2,mp;st,-94.0,0.02206,mp:353 | st:198,C1CCCC1
UHOVQNZJYSORNB-UHFFFAOYSA-N,2,2,mp;st,0.028165,5.5,mp:355 | st:168,c1ccccc1
JUJWROOIHBZHMG-UHFFFAOYSA-N,2,2,mp;st,-42.0,0.03652,mp:359 | st:307,c1ccncc1
NQRYJNQNLNOLGT-UHFFFAOYSA-N,2,2,mp;st,-11.0,0.02956,mp:360 | st:302,C1CCNCC1
UJPMYEOUBPIPHQ-UHFFFAOYSA-N,2,2,mp;st,-111.0,0.0045,mp:646 | st:47,CC(F)(F)F
WEVYAHXRMPXWCK-UHFFFAOYSA-N,2,2,mp;st,-46.0,0.02776,mp:674 | st:164,CC#N
RZJRJXONCZWCBN-UHFFFAOYSA-N,2,2,mp;st,0.02759,28.0,mp:1277 | st:288,CCCCCCCCCCCCCCCCCC
GIEZWIDCIFCQPS-UHFFFAOYSA-N,2,2,mp;st,-91.0,0.021285,mp:1040 | st:141,CCC(C)(CC)CC
XTDQDBVBDLYELW-UHFFFAOYSA-N,2,2,mp;st,-112.0,0.0204,mp:1048 | st:125,CCC(C)C(C)(C)C
BTANRVKWQNVYAZ-UHFFFAOYSA-N,2,2,mp;st,-115.0,0.0233,mp:1053 | st:4,CCC(C)O
IJDNQMDRQITEOD-UHFFFAOYSA-N,2,2,mp;st,-138.0,0.0128,mp:1126 | st:184,CCCC
FERIUCNNQQJTOY-UHFFFAOYSA-N,2,2,mp;st,-5.0,0.02619,mp:1130 | st:187,CCCC(=O)O
CXOWYJMDMMMMJO-UHFFFAOYSA-N,2,2,mp;st,-124.0,0.017543,mp:1133 | st:120,CCCC(C)(C)C
WFRBDWRZVBPBDO-UHFFFAOYSA-N,2,2,mp;st,-103.0,0.0229,mp:1136 | st:102,CCCC(C)(C)O
KVNRLNFWIYMESJ-UHFFFAOYSA-N,2,2,mp;st,-112.0,0.02588,mp:1148 | st:186,CCCC#N
OFBQJSOFQDEBGM-UHFFFAOYSA-N,2,2,mp;st,-130.0,0.01586,mp:1160 | st:296,CCCCC
GXDHCNNESPLIKD-UHFFFAOYSA-N,2,2,mp;st,-118.0,0.0188,mp:1167 | st:108,CCCCC(C)C
RFFFKMOABOFIDF-UHFFFAOYSA-N,2,2,mp;st,-96.0,0.024038,mp:1176 | st:298,CCCCC#N
VLKZOEOYAKHREP-UHFFFAOYSA-N,2,2,mp;st,-95.0,0.01794,mp:1183 | st:256,CCCCCC
JVSWJIKNEAIKJW-UHFFFAOYSA-N,2,2,mp;st,-109.0,0.019676,mp:1189 | st:107,CCCCCC(C)C
IMNFDUFMRHMDMM-UHFFFAOYSA-N,2,2,mp;st,-91.0,0.01928,mp:1196 | st:252,CCCCCCC
STWFZICHPLEOIC-UHFFFAOYSA-N,2,2,mp;st,-2.0,0.02909,mp:1242 | st:200,CCCCCCCCCCC1CCCCC1
NDJKXXJCMXVBJW-UHFFFAOYSA-N,2,2,mp;st,0.02722,21.0,mp:1275 | st:251,CCCCCCCCCCCCCCCCC
ZWEHNKRNPOVVGH-UHFFFAOYSA-N,2,2,mp;st,-87.0,0.0242,mp:1046 | st:188,CCC(C)=O
MSXVEPNJUHWQHW-UHFFFAOYSA-N,2,2,mp;st,-12.0,0.02361,mp:1039 | st:99,CCC(C)(C)O
BKOOMYPCSUNDGP-UHFFFAOYSA-N,2,2,mp;st,-134.0,0.01613,mp:675 | st:100,CC=C(C)C
AEXMKKGTQYQZCS-UHFFFAOYSA-N,2,2,mp;st,-135.0,0.01925,mp:1036 | st:151,CCC(C)(C)CC
MLUCVPSAIODCQM-UHFFFAOYSA-N,2,2,mp;st,-76.0,0.02809,mp:682 | st:82,CC=CC=O
IKHGUXGNUITLKF-UHFFFAOYSA-N,2,2,mp;st,-124.0,0.0206,mp:688 | st:233,CC=O
URLKBWYHVLBVBO-UHFFFAOYSA-N,2,2,mp;st,0.02789,12.0,mp:849 | st:75,Cc1ccc(C)cc1
VCZNNAKNUVJVGX-UHFFFAOYSA-N,2,2,mp;st,0.03651,29.0,mp:853 | st:294,Cc1ccc(C#N)cc1
NPDACUSDTOMAMK-UHFFFAOYSA-N,2,2,mp;st,0.03224,7.5,mp:860 | st:159,Cc1ccc(Cl)cc1
IVSZLXZYQVIEFR-UHFFFAOYSA-N,2,2,mp;st,-47.0,0.02836,mp:925 | st:70,Cc1cccc(C)c1
BOHCMQZJWOGWTA-UHFFFAOYSA-N,2,2,mp;st,-23.0,0.03581,mp:933 | st:260,Cc1cccc(C#N)c1
JJYPMNFTHPTTDI-UHFFFAOYSA-N,2,2,mp;st,-30.0,0.03773,mp:937 | st:147,Cc1cccc(N)c1
YXFVVABEGXRONW-UHFFFAOYSA-N,2,2,mp;st,-93.0,0.027541,mp:951 | st:316,Cc1ccccc1
QSSXJPIWXQTSIX-UHFFFAOYSA-N,2,2,mp;st,-27.0,0.0341,mp:955 | st:81,Cc1ccccc1Br
CTQNGGLPUBDAKN-UHFFFAOYSA-N,2,2,mp;st,-25.0,0.02935,mp:956 | st:63,Cc1ccccc1C
BSKHPKMHTQYZBB-UHFFFAOYSA-N,2,2,mp;st,-70.0,0.03278,mp:969 | st:110,Cc1ccccn1
XBDQKXXYIPTUBI-UHFFFAOYSA-N,2,2,mp;st,-20.8,0.0255,mp:1023 | st:304,CCC(=O)O
RJUFJBKOKNCXHH-UHFFFAOYSA-N,2,2,mp;st,-88.0,0.0243,mp:1024 | st:266,CCC(=O)OC
HNRMPXKDFBEGFZ-UHFFFAOYSA-N,2,2,mp;st,-100.0,0.0157,mp:1032 | st:119,CCC(C)(C)C
QGJOPFRUJISHPQ-UHFFFAOYSA-N,2,2,mp;st,-112.0,0.03129,mp:3029 | st:190,S=C=S
